Cluster,Analysis,Backdoor,Bot,DDoS,DoS,DoS GoldenEye,DoS Hulk,DoS SlowHTTPTest,DoS Slowloris,Exploits,FTP Patator,Fuzzers,Generic,Heartbleed,Infiltration,Normal,Port Scan,Reconnaissance,SSH Patator,Shellcode,Web Attack - Brute Force,Web Attack - SQL Injection,Web Attack - XSS,Worms
Cluster 61,0,0,0,0,0,0,0,0,0,1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 62,0,0,0,0,0,0,6,226,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cluster 63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3012,0,0,0,0,0
Cluster 64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1670
Cluster 65,0,0,0,0,0,0,0,0,0,1,0,442,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 66,0,0,0,3292,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
Cluster 67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1191,0
Cluster 68,0,0,0,0,0,0,0,0,0,0,0,0,0,4574,0,0,0,0,0,0,0,0,0,0
Cluster 69,0,0,0,2850,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Cluster 7,0,0,0,0,0,0,0,0,0,0,2665,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,244,0,0,0,0,0
Cluster 71,0,0,0,0,0,0,0,0,0,0,2445,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 72,0,0,0,0,3,0,0,0,0,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4345,0,0,0,0,0,0,0,0
Cluster 74,0,0,0,0,0,0,672,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Cluster 75,0,0,0,0,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 76,0,0,0,0,5,0,0,0,0,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 77,0,0,0,0,0,0,0,0,0,1,0,0,843,0,0,0,0,0,0,0,0,0,0,0
Cluster 78,0,0,0,0,0,1816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5889,0,0,0,0,0,0,0,0
Cluster 8,0,0,0,0,0,0,0,0,0,0,0,6131,0,0,0,15,0,0,0,0,0,0,0,0
Cluster 80,0,0,0,0,0,0,0,0,0,0,0,0,0,8158,0,0,0,0,0,0,0,0,0,0
Cluster 81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1457,0,0,0
Cluster 82,0,0,0,0,0,0,0,0,0,0,0,1989,0,0,0,1,0,0,0,0,0,0,0,0
Cluster 83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2931,0,0,0,0,0,0,0,0
Cluster 84,0,0,0,0,0,0,8564,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Cluster 85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970,0,0,0,0,0
Cluster 86,0,0,0,0,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 87,0,0,0,0,0,0,0,0,0,0,1943,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 88,0,0,0,0,0,0,0,0,0,0,0,0,380,0,0,0,0,0,0,0,0,0,0,0
Cluster 89,0,0,0,0,0,0,3544,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cluster 9,0,0,0,0,0,0,0,0,0,0,0,0,2061,0,0,0,0,0,0,0,0,0,0,0
Cluster 90,0,0,0,0,0,0,0,0,0,0,0,0,0,9071,0,0,0,0,0,0,0,0,0,0
Cluster 91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2109,0,0,0,0,0,0,0,0
Cluster 92,0,0,0,0,0,0,12466,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Cluster 93,0,0,0,0,0,0,0,0,0,0,0,0,2475,0,0,0,0,0,0,0,0,0,0,0
Cluster 94,0,0,0,0,3,0,0,0,0,0,0,948,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 95,0,0,0,5594,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Cluster 96,0,0,0,0,0,0,0,0,0,1,0,1112,0,0,0,4,0,0,0,0,0,0,0,0
Cluster 97,0,0,0,4512,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
Cluster 98,0,0,0,0,1941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 99,0,0,0,0,0,0,2298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
